Site,season,species.richness
H01-HFR1,JU21,10
P-CCP,AP21,9
P-OLT,JU21,9
IRC02,AP21,8
P-BLP,JA21,8
P-CCP,JU21,8
P-CCP,OC20,8
P-STP,JU21,8
G-FP1,JA21,7
G-JP,JA21,7
H01-BEA2,AP21,7
H01-OXY1,JA21,7
H01-WWD1,OC20,7
IRC02,JU21,7
P-BLP,AP21,7
P-CCP,JA21,7
P-DPV,AP21,7
P-MKP3,OC20,7
P-OB,JU21,7
P-RP,JU21,7
P-RP,OC20,7
P-RWSR,AP21,7
P-RWSR,JA21,7
P-WBC,AP21,7
G-CBP2,AP21,6
G-CBP2,JU21,6
G-CLP3,AP21,6
G-CLP3,JU21,6
G-CLP3,OC20,6
G-FP1,AP21,6
G-FP1,JU21,6
G-IP,AP21,6
G-SB,JU21,6
G-SB,OC20,6
G-SERA,JA21,6
G-TNC2,JA21,6
G-TNC2,JU21,6
G-TNC2,OC20,6
G-VP,OC20,6
H01-DEB1,AP21,6
H01-OXY1,AP21,6
H01-WWD1,AP21,6
MT,JA21,6
P-CUP,AP21,6
P-CUP,JA21,6
P-CUP,JU21,6
P-OLT,AP21,6
P-OLT,OC20,6
P-OV2,JU21,6
P-PCNA2,JA21,6
P-RWSR,OC20,6
P-STP,JA21,6
P-TE2,JU21,6
AB,JA21,5
CB,JA21,5
DY,JU21,5
G-IP,JA21,5
G-IP,OC20,5
G-JP,AP21,5
G-SB,AP21,5
G-SERA,AP21,5
G-SERA,JU21,5
G-TNC2,AP21,5
G-VP,AP21,5
G-WLP2,AP21,5
H01-DEB1,JA21,5
H01-HFR1,OC20,5
H01-WWD1,JA21,5
H01-WWD1,JU21,5
HT,AP21,5
IRC03,AP21,5
MA,AP21,5
OAK,AP21,5
P-BLP,JU21,5
P-CUP,OC20,5
P-DPV,JA21,5
P-DPV,OC20,5
P-PCNA2,JU21,5
P-PCNA2,OC20,5
P-UWT,AP21,5
P-UWT,JA21,5
P-UWT,JU21,5
P-UWT,OC20,5
P-WBC,JA21,5
P-WBC,OC20,5
PWETZ02,AP21,5
WP,JA21,5
WP,OC20,5
AB,AP21,4
CalT02,AP21,4
CalT02,JU21,4
CB,JU21,4
CR,AP21,4
CR,JA21,4
CR,JU21,4
CR,OC20,4
DY,AP21,4
G-CLP3,JA21,4
G-KP2,JA21,4
G-SB,JA21,4
G-VP,JU21,4
G-WLP2,JA21,4
G-WLP2,JU21,4
G-WLP2,OC20,4
H01-OCC1,JA21,4
H01-SPS1,JU21,4
H01-TMC1,AP21,4
H01-TMC1,JA21,4
H01-TMC1,JU21,4
HT,JU21,4
IRC07,AP21,4
IRC07,OC20,4
MT,AP21,4
MT,OC20,4
P-DPV,JU21,4
P-MKP3,AP21,4
P-MKP3,JA21,4
P-OB,OC20,4
P-OV2,JA21,4
P-RWSR,JU21,4
P-SCP2,AP21,4
P-SCP2,JA21,4
P-SCP2,JU21,4
P-SCP2,OC20,4
P-STP,OC20,4
P-WBC,JU21,4
PER,AP21,4
PER,JU21,4
PWETZ01,JU21,4
WP,AP21,4
AB,JU21,3
AB,OC20,3
BT,JA21,3
CalT03,JU21,3
ED05,AP21,3
ED06,AP21,3
ELMOD,AP21,3
G-KP2,AP21,3
G-KP2,OC20,3
G-VP,JA21,3
H01-BEA2,JA21,3
H01-BEA2,JU21,3
H01-BEA2,OC20,3
H01-CCH1,AP21,3
H01-DEB1,JU21,3
H01-HFR1,AP21,3
H01-HNP1,JA21,3
H01-HNP1,JU21,3
H01-OCC1,AP21,3
H01-SPS1,JA21,3
H01-TMC1,OC20,3
H01-WAV1,JA21,3
H18,AP21,3
HT,JA21,3
HT,OC20,3
OAK,JU21,3
P-GP,OC20,3
P-MKP3,JU21,3
P-OB,JA21,3
P-OLT,JA21,3
P-TE2,AP21,3
P-TE2,JA21,3
PWETZ01,AP21,3
PWETZ02,JU21,3
WP,JU21,3
CalT03,AP21,2
CB,AP21,2
DK,AP21,2
ED01,AP21,2
ED05,JU21,2
ELMOD,OC20,2
GT,AP21,2
GT,JA21,2
GT,JU21,2
H01-CCH1,JA21,2
H01-CCH1,JU21,2
H01-CCH1,OC20,2
H01-HNP1,AP21,2
H01-HNP1,OC20,2
H01-OXY1,JU21,2
H01-SPS1,AP21,2
H01-WAV1,AP21,2
H18,JA21,2
H18,JU21,2
H18,OC20,2
IRC03,JU21,2
IRC04,AP21,2
IRC04,JU21,2
IRC05,AP21,2
IRC06,JU21,2
MA,OC20,2
P-TE2,OC20,2
BT,AP21,1
BT,JU21,1
CalT01,AP21,1
CB,OC20,1
DK,JU21,1
DK,OC20,1
ED01,JU21,1
ED07,AP21,1
ELMOD,JU21,1
EN,JA21,1
EN,OC20,1
H01-FIR2,AP21,1
H01-FIR2,JU21,1
H01-HFR1,JA21,1
H01-OCC1,JU21,1
H01-RHR1,JU21,1
H01-RHR1,OC20,1
H01-SPS1,OC20,1
H01-WAV1,OC20,1
HBT,AP21,1
HBT,OC20,1
IRC01,AP21,1
IRC01,JU21,1
IRC06,AP21,1
IRC07,JU21,1
P-GP,AP21,1
P-GP,JA21,1
P-WWP,JA21,1
